timestamp,runtime_min
2026-05-23 08:40:00,83.1667
,
2026-05-23 10:00:00,18.5
2026-05-23 10:20:00,38.5
2026-05-23 10:40:00,39.1667
,
2026-05-23 11:00:00,78.5
2026-05-23 11:20:00,98.5
2026-05-23 11:40:00,118.5
2026-05-23 12:00:00,118.6667
,
2026-05-24 06:00:00,1.8333
2026-05-24 06:20:00,21.8333
2026-05-24 06:40:00,41.8333
2026-05-24 07:00:00,61.8333
2026-05-24 07:20:00,69.8333
,
2026-05-24 09:40:00,19.8333
2026-05-24 10:00:00,39.8333
2026-05-24 10:20:00,58.1667
,
2026-05-24 11:40:00,12.5
2026-05-24 12:00:00,27.5
,
2026-05-24 12:20:00,46.5
,
2026-05-24 13:20:00,112.5
2026-05-24 13:40:00,129.6667
,
2026-05-25 06:20:00,17.8333
2026-05-25 06:40:00,37.8333
2026-05-25 07:00:00,57.8333
2026-05-25 07:20:00,77.8333
2026-05-25 07:40:00,86.5
,
2026-05-25 10:00:00,18.1667
2026-05-25 10:20:00,38.1667
2026-05-25 10:40:00,39.8333
,
2026-05-26 08:20:00,12.8333
2026-05-26 08:40:00,32.8333
2026-05-26 09:00:00,52.8333
2026-05-26 09:20:00,53.6667
,
2026-05-26 09:40:00,92.8333
2026-05-26 10:00:00,112.8333
2026-05-26 10:20:00,132.8333
2026-05-26 10:40:00,152.8333
2026-05-26 11:00:00,172.8333
2026-05-26 11:20:00,192.8333
2026-05-26 11:40:00,212.8333
2026-05-26 12:00:00,230.6667
,
2026-05-27 06:40:00,13.8333
2026-05-27 07:00:00,33.8333
2026-05-27 07:20:00,53.8333
2026-05-27 07:40:00,73.8333
2026-05-27 08:00:00,93.8333
2026-05-27 08:20:00,97.8333
,
2026-05-27 10:00:00,13.8333
2026-05-27 10:20:00,33.8333
2026-05-27 10:40:00,53.8333
2026-05-27 11:00:00,63.0
,
2026-05-27 11:20:00,93.8333
2026-05-27 11:40:00,113.8333
2026-05-27 12:00:00,133.8333
2026-05-27 12:20:00,134.0
,
2026-05-28 06:20:00,19.8333
2026-05-28 06:40:00,39.8333
2026-05-28 07:00:00,56.8333
,
2026-05-28 09:20:00,10.8333
2026-05-28 09:40:00,30.8333
2026-05-28 10:00:00,42.6667
,
2026-05-28 11:00:00,3.0
2026-05-28 11:20:00,23.0
2026-05-28 11:40:00,39.1667
,
2026-05-28 13:00:00,104.1667
,
2026-05-29 06:00:00,5.8333
2026-05-29 06:20:00,25.8333
2026-05-29 06:40:00,45.8333
2026-05-29 07:00:00,46.8333
,
2026-05-29 07:20:00,6.8333
2026-05-29 07:40:00,26.8333
2026-05-29 08:00:00,45.1667
,
2026-05-29 10:00:00,18.5
2026-05-29 10:20:00,38.5
2026-05-29 10:40:00,43.1667
,
2026-05-29 11:20:00,98.5
2026-05-29 11:40:00,118.5
2026-05-29 12:00:00,131.1667
,
2026-05-30 06:40:00,14.8333
2026-05-30 07:00:00,34.8333
2026-05-30 07:20:00,54.8333
2026-05-30 07:40:00,74.8333
2026-05-30 08:00:00,94.8333
2026-05-30 08:20:00,101.6667
,
2026-05-30 10:00:00,18.0
2026-05-30 10:20:00,38.0
2026-05-30 10:40:00,44.0
,
2026-05-30 11:20:00,98.0
2026-05-30 11:40:00,118.0
2026-05-30 12:00:00,138.0
2026-05-30 12:20:00,158.0
2026-05-30 12:40:00,166.8333
,
2026-05-31 08:00:00,9.8333
2026-05-31 08:20:00,29.8333
2026-05-31 08:40:00,49.8333
2026-05-31 09:00:00,69.8333
2026-05-31 09:20:00,89.8333
2026-05-31 09:40:00,109.8333
2026-05-31 10:00:00,119.8333
,
2026-05-31 11:00:00,14.8333
2026-05-31 11:20:00,34.8333
2026-05-31 11:40:00,54.8333
2026-05-31 12:00:00,55.1667
,
2026-05-31 12:40:00,114.8333
2026-05-31 13:00:00,134.8333
2026-05-31 13:20:00,154.8333
2026-05-31 13:40:00,160.6667
,
2026-06-01 07:20:00,1.8333
2026-06-01 07:40:00,21.8333
2026-06-01 08:00:00,41.8333
2026-06-01 08:20:00,61.8333
2026-06-01 08:40:00,81.8333
2026-06-01 09:00:00,96.3333
,
2026-06-01 10:40:00,16.3333
2026-06-01 11:00:00,36.3333
2026-06-01 11:20:00,37.6667
,
2026-06-01 11:20:00,52.5
,
2026-06-01 12:00:00,96.3333
2026-06-01 12:20:00,116.3333
2026-06-01 12:40:00,136.3333
2026-06-01 13:00:00,156.3333
2026-06-01 13:20:00,171.5
,
2026-06-02 06:00:00,10.8333
2026-06-02 06:20:00,30.8333
2026-06-02 06:40:00,50.8333
2026-06-02 07:00:00,70.8333
2026-06-02 07:20:00,90.8333
2026-06-02 07:40:00,108.6667
,
2026-06-02 09:00:00,12.0
2026-06-02 09:20:00,32.0
2026-06-02 09:40:00,52.0
2026-06-02 10:00:00,70.5
,
2026-06-02 10:40:00,112.0
2026-06-02 11:00:00,132.0
2026-06-02 11:20:00,152.0
2026-06-02 11:40:00,161.1667
,
2026-06-03 06:00:00,18.8333
2026-06-03 06:20:00,38.8333
2026-06-03 06:40:00,58.8333
2026-06-03 07:00:00,61.6667
,
2026-06-03 08:00:00,6.0
2026-06-03 08:20:00,26.0
2026-06-03 08:40:00,46.0
2026-06-03 09:00:00,52.8333
,
2026-06-03 10:20:00,10.0
2026-06-03 10:40:00,30.0
2026-06-03 11:00:00,50.0
2026-06-03 11:20:00,63.0
,
2026-06-03 12:20:00,130.0
2026-06-03 12:40:00,138.3333
,
2026-06-04 07:40:00,7.8333
2026-06-04 08:00:00,27.8333
2026-06-04 08:20:00,47.8333
2026-06-04 08:40:00,67.8333
2026-06-04 09:00:00,87.8333
2026-06-04 09:20:00,105.6667
,
2026-06-04 10:00:00,147.8333
2026-06-04 10:20:00,167.8333
2026-06-04 10:40:00,187.8333
2026-06-04 11:00:00,207.8333
2026-06-04 11:20:00,208.8333
,
2026-06-05 06:20:00,18.8333
2026-06-05 06:40:00,38.8333
2026-06-05 07:00:00,58.8333
2026-06-05 07:20:00,78.8333
2026-06-05 07:40:00,93.3333
,
2026-06-05 10:00:00,0.3333
2026-06-05 10:20:00,20.3333
2026-06-05 10:40:00,40.3333
2026-06-05 11:00:00,44.1667
,
2026-06-05 11:00:00,60.3333
2026-06-05 11:20:00,66.5
,
2026-06-05 12:20:00,136.3333
,
2026-06-06 08:00:00,14.8333
2026-06-06 08:20:00,34.8333
2026-06-06 08:40:00,54.8333
2026-06-06 09:00:00,74.8333
2026-06-06 09:20:00,94.8333
2026-06-06 09:40:00,105.6667
,
2026-06-06 11:20:00,10.0
2026-06-06 11:40:00,30.0
2026-06-06 12:00:00,49.0
,
2026-06-06 13:00:00,110.0
2026-06-06 13:20:00,130.0
2026-06-06 13:40:00,150.0
2026-06-06 14:00:00,170.0
2026-06-06 14:20:00,175.6667
,
2026-06-07 07:20:00,15.8333
2026-06-07 07:40:00,35.8333
2026-06-07 08:00:00,55.8333
2026-06-07 08:20:00,70.6667
,
2026-06-07 10:20:00,19.0
2026-06-07 10:40:00,36.8333
,
2026-06-07 11:00:00,59.0
2026-06-07 11:20:00,79.0
2026-06-07 11:40:00,99.0
2026-06-07 12:00:00,119.0
2026-06-07 12:20:00,122.6667
,
2026-06-08 07:00:00,2.8333
2026-06-08 07:20:00,22.8333
2026-06-08 07:40:00,42.8333
2026-06-08 08:00:00,62.8333
2026-06-08 08:20:00,82.8333
